"Address",Latitude,Longitude
"Athens",37.98381,23.727539
"Antwerp",51.260197,4.402771
"Barcelona",41.385064,2.173403
"Berlin",52.520007,13.404954
"Bern",46.947974,7.447447
"Brussels",50.850346,4.351721
"Calais",50.95129,1.858686
"Cologne",50.937531,6.960279
"Copenhagen",55.676097,12.568337
"Edinburgh",55.953252,-3.188267
"Frankfurt",50.110922,8.682127
"Geneva",46.204391,6.143158
"Genoa",44.40565,8.946256
"Hamburg",53.551085,9.993682
"Le Havre",49.49437,0.107929
"Lisbon",38.722252,-9.139337
"London",51.507351,-0.127758
"Luxembourg",49.815273,6.129583
"Lyon",45.764043,4.835659
"Madrid",40.416775,-3.70379
"Marseille",43.296482,5.36978
"Milan",45.465422,9.185924
"Munich",48.135125,11.581981
"Naples",40.851775,14.268124
"Nice",43.710173,7.261953
"Paris",48.856614,2.352222
"Prague",50.075538,14.4378
"Rome",41.902784,12.496366
"Rotterdam",51.92442,4.477733
"Strasbourg",48.573405,7.752111
"Stuttgart",48.775846,9.182932
"The Hague",52.070498,4.3007
"Turin",45.070312,7.686856
"Venice",33.985047,-118.469483
"Vienna",48.208174,16.373819
"Zurich",47.376887,8.541694
